iPad Name,iPad ID,iPad x,iPad y,Floor
Big Sur,0452f3638d1a,3.0,49.2,3
Lake Shasta,0452f36388d5,10.0,40.8,3
Santa Beach,0452f3670522,20.3,40.8,3
Pismo Beach,0452f3640b3e,21.1,30.0,3
Malibu,0452f3696eed,24.0,40.8,3
Catalina Island,0452f3619976,24.4,31.0,3
Ventura,e8b2ac05843d,63.6,20.6,3
San Diego,0452f36b08f1,63.6,28.6,3
Bodega Bay,0452f36b0de7,67.0,20.6,3
Big Bear,0452f36d447c,67.0,28.8,3
Tiburon,0452f36b0df9,67.2,44.8,3
Death Valley,0452f36bdd3b,78.0,20.6,3
Napa,0452f36c37d6,81.6,20.6,3
Sonoma,0452f36b2e85,81.6,28.7,3
Saucelito,0452f36b0e74,85.8,40.8,3
Mendocino,0452f36d4491,86.4,20.5,3
Sequoia National Park,0452f36af6e6,89.9,7.6,3
